ValidationID,FranchiseeID,StoreID,PeriodID,RuleID,ErrorMessage,Severity
4542,2213,-90000993,202410,12,Profit Before Taxes ([100]) is negative.,2
4543,2070,-90000776,202412,12,Profit Before Taxes ([100]) is negative.,2
4544,2510,-90000754,202410,12,Profit Before Taxes ([100]) is negative.,2
4545,2072,-90000727,202410,12,Profit Before Taxes ([100]) is negative.,2
4546,2122,-90000721,202410,12,Profit Before Taxes ([100]) is negative.,2
4547,2583,-90000706,202412,12,Profit Before Taxes ([100]) is negative.,2
4548,2583,-90000700,202412,12,Profit Before Taxes ([100]) is negative.,2
4549,2670,-90000682,202410,12,Profit Before Taxes ([100]) is negative.,2
4550,2626,-90000669,202411,12,Profit Before Taxes ([100]) is negative.,2
4551,2683,-90000972,202412,12,Profit Before Taxes ([100]) is negative.,2
4552,2025,-90000946,202411,12,Profit Before Taxes ([100]) is negative.,2
4553,2142,-90000915,202410,12,Profit Before Taxes ([100]) is negative.,2
4554,2552,-90000905,202410,12,Profit Before Taxes ([100]) is negative.,2
4555,2004,-90000889,202412,12,Profit Before Taxes ([100]) is negative.,2
4556,2317,-90000883,202412,12,Profit Before Taxes ([100]) is negative.,2
4557,2339,-90000865,202410,12,Profit Before Taxes ([100]) is negative.,2
4558,2105,-90000860,202411,12,Profit Before Taxes ([100]) is negative.,2
4559,2077,-90000838,202410,12,Profit Before Taxes ([100]) is negative.,2
4560,2077,-90000817,202412,12,Profit Before Taxes ([100]) is negative.,2
4561,2143,-90000787,202410,12,Profit Before Taxes ([100]) is negative.,2
4562,2070,-90000781,202411,12,Profit Before Taxes ([100]) is negative.,2
4563,2687,-90000765,202410,12,Profit Before Taxes ([100]) is negative.,2
4564,2687,-90000759,202410,12,Profit Before Taxes ([100]) is negative.,2
4565,2020,-90000743,202411,12,Profit Before Taxes ([100]) is negative.,2
4566,2396,-90000738,202412,12,Profit Before Taxes ([100]) is negative.,2
4567,2318,-90001201,202410,12,Profit Before Taxes ([100]) is negative.,2
4568,2503,-90001106,202411,12,Profit Before Taxes ([100]) is negative.,2
4569,2472,-90001179,202411,12,Profit Before Taxes ([100]) is negative.,2
4570,2284,-90001122,202410,12,Profit Before Taxes ([100]) is negative.,2
4571,2294,-90001061,202412,12,Profit Before Taxes ([100]) is negative.,2
4572,2123,-90001043,202410,12,Profit Before Taxes ([100]) is negative.,2
4573,2495,-90000998,202412,12,Profit Before Taxes ([100]) is negative.,2
4574,2546,-90000981,202410,12,Profit Before Taxes ([100]) is negative.,2
4575,2224,-90000930,202410,12,Profit Before Taxes ([100]) is negative.,2
4576,2142,-90000914,202412,12,Profit Before Taxes ([100]) is negative.,2
4577,2476,-90000848,202411,12,Profit Before Taxes ([100]) is negative.,2
4578,2689,-90000802,202411,12,Profit Before Taxes ([100]) is negative.,2
4579,2339,-90000864,202410,12,Profit Before Taxes ([100]) is negative.,2
4580,2143,-90000786,202412,12,Profit Before Taxes ([100]) is negative.,2
4581,2020,-90000742,202411,12,Profit Before Taxes ([100]) is negative.,2
4582,2072,-90000726,202412,12,Profit Before Taxes ([100]) is negative.,2
4583,2626,-90000673,202410,12,Profit Before Taxes ([100]) is negative.,2
4584,2073,-90000656,202411,12,Profit Before Taxes ([100]) is negative.,2
4585,2363,-90000604,202411,12,Profit Before Taxes ([100]) is negative.,2
4586,2443,-90000582,202412,12,Profit Before Taxes ([100]) is negative.,2
4587,2333,-90000520,202411,12,Profit Before Taxes ([100]) is negative.,2
4588,2039,-90000499,202411,12,Profit Before Taxes ([100]) is negative.,2
4589,2263,-90000441,202410,12,Profit Before Taxes ([100]) is negative.,2
4590,2066,-90000420,202410,12,Profit Before Taxes ([100]) is negative.,2
4591,2412,-90000363,202411,12,Profit Before Taxes ([100]) is negative.,2
4592,2041,-90000340,202410,12,Profit Before Taxes ([100]) is negative.,2
4593,2605,-90000262,202410,12,Profit Before Taxes ([100]) is negative.,2
4594,2481,-90000282,202410,12,Profit Before Taxes ([100]) is negative.,2
4595,2620,-90000204,202410,12,Profit Before Taxes ([100]) is negative.,2
4596,2427,-90000184,202412,12,Profit Before Taxes ([100]) is negative.,2
4597,2317,-90000131,202410,12,Profit Before Taxes ([100]) is negative.,2
4598,2181,-90000111,202411,12,Profit Before Taxes ([100]) is negative.,2
4599,2370,-90000058,202410,12,Profit Before Taxes ([100]) is negative.,2
4600,2530,-90000038,202410,12,Profit Before Taxes ([100]) is negative.,2
4601,2130,100018,202412,12,Profit Before Taxes ([100]) is negative.,2
4602,2082,100069,202412,12,Profit Before Taxes ([100]) is negative.,2
4603,2195,100104,202412,12,Profit Before Taxes ([100]) is negative.,2
4604,2396,100119,202411,12,Profit Before Taxes ([100]) is negative.,2
4605,2449,100165,202412,12,Profit Before Taxes ([100]) is negative.,2
4606,2338,100178,202412,12,Profit Before Taxes ([100]) is negative.,2
4607,2562,100245,202411,12,Profit Before Taxes ([100]) is negative.,2
4608,2589,100224,202412,12,Profit Before Taxes ([100]) is negative.,2
4609,2303,100259,202412,12,Profit Before Taxes ([100]) is negative.,2
4610,2554,100281,202412,12,Profit Before Taxes ([100]) is negative.,2
4611,2483,100305,202412,12,Profit Before Taxes ([100]) is negative.,2
4612,2416,100319,202412,12,Profit Before Taxes ([100]) is negative.,2
4613,2501,100372,202411,12,Profit Before Taxes ([100]) is negative.,2
4614,2037,100297,202411,12,Profit Before Taxes ([100]) is negative.,2
4615,2179,100386,202412,12,Profit Before Taxes ([100]) is negative.,2
4616,2539,100436,202410,12,Profit Before Taxes ([100]) is negative.,2
4617,2474,100456,202412,12,Profit Before Taxes ([100]) is negative.,2
4618,2171,100470,202411,12,Profit Before Taxes ([100]) is negative.,2
4619,2284,100536,202412,12,Profit Before Taxes ([100]) is negative.,2
4620,2143,100550,202412,12,Profit Before Taxes ([100]) is negative.,2
4621,2545,100598,202411,12,Profit Before Taxes ([100]) is negative.,2
4622,2556,100701,202411,12,Profit Before Taxes ([100]) is negative.,2
4623,2249,100734,202411,12,Profit Before Taxes ([100]) is negative.,2
4624,2391,100708,202411,12,Profit Before Taxes ([100]) is negative.,2
4625,2181,100721,202412,12,Profit Before Taxes ([100]) is negative.,2
4626,2059,100797,202411,12,Profit Before Taxes ([100]) is negative.,2
4627,2117,100912,202412,12,Profit Before Taxes ([100]) is negative.,2
4628,2257,100854,202412,12,Profit Before Taxes ([100]) is negative.,2
4629,2213,100891,202411,12,Profit Before Taxes ([100]) is negative.,2
4630,2547,100998,202410,12,Profit Before Taxes ([100]) is negative.,2
4631,2613,101019,202411,12,Profit Before Taxes ([100]) is negative.,2
4632,2058,101031,202412,12,Profit Before Taxes ([100]) is negative.,2
4633,2047,101051,202412,12,Profit Before Taxes ([100]) is negative.,2
4634,2153,101086,202411,12,Profit Before Taxes ([100]) is negative.,2
4635,2459,101179,202412,12,Profit Before Taxes ([100]) is negative.,2
4636,2159,101158,202410,12,Profit Before Taxes ([100]) is negative.,2
4637,2071,101192,202411,12,Profit Before Taxes ([100]) is negative.,2
4638,2380,101241,202410,12,Profit Before Taxes ([100]) is negative.,2
4639,2688,101276,202411,12,Profit Before Taxes ([100]) is negative.,2
4640,2340,101289,202412,12,Profit Before Taxes ([100]) is negative.,2
4641,2139,101361,202410,12,Profit Before Taxes ([100]) is negative.,2
4642,2698,101375,202412,12,Profit Before Taxes ([100]) is negative.,2
4643,2236,101410,202412,12,Profit Before Taxes ([100]) is negative.,2
4644,2338,101431,202411,12,Profit Before Taxes ([100]) is negative.,2
4645,2135,101470,202412,12,Profit Before Taxes ([100]) is negative.,2
4646,2499,101523,202411,12,Profit Before Taxes ([100]) is negative.,2
4647,2442,101457,202411,12,Profit Before Taxes ([100]) is negative.,2
4648,2009,101543,202411,12,Profit Before Taxes ([100]) is negative.,2
4649,2047,101562,202410,12,Profit Before Taxes ([100]) is negative.,2
4650,2240,101576,202412,12,Profit Before Taxes ([100]) is negative.,2
4651,2519,101653,202412,12,Profit Before Taxes ([100]) is negative.,2
4652,2159,101668,202412,12,Profit Before Taxes ([100]) is negative.,2
4653,2143,101737,202411,12,Profit Before Taxes ([100]) is negative.,2
4654,2269,101756,202411,12,Profit Before Taxes ([100]) is negative.,2
4655,2269,101869,202411,12,Profit Before Taxes ([100]) is negative.,2
4656,2035,101890,202412,12,Profit Before Taxes ([100]) is negative.,2
4657,2338,101883,202411,12,Profit Before Taxes ([100]) is negative.,2
4658,2599,101904,202411,12,Profit Before Taxes ([100]) is negative.,2
4659,2443,101950,202412,12,Profit Before Taxes ([100]) is negative.,2
4660,2390,101964,202410,12,Profit Before Taxes ([100]) is negative.,2
4661,2551,102014,202412,12,Profit Before Taxes ([100]) is negative.,2
4662,2104,102036,202410,12,Profit Before Taxes ([100]) is negative.,2
4663,2435,102050,202412,12,Profit Before Taxes ([100]) is negative.,2
4664,2584,102121,202410,12,Profit Before Taxes ([100]) is negative.,2
4665,2386,102134,202412,12,Profit Before Taxes ([100]) is negative.,2
4666,2361,102182,202411,12,Profit Before Taxes ([100]) is negative.,2
4667,2037,102195,202412,12,Profit Before Taxes ([100]) is negative.,2
4668,2566,102244,202411,12,Profit Before Taxes ([100]) is negative.,2
4669,2440,102258,202411,12,Profit Before Taxes ([100]) is negative.,2
4670,2595,102348,202411,12,Profit Before Taxes ([100]) is negative.,2
4671,2226,102285,202411,12,Profit Before Taxes ([100]) is negative.,2
4672,2297,102301,202411,12,Profit Before Taxes ([100]) is negative.,2
4673,2063,102324,202410,12,Profit Before Taxes ([100]) is negative.,2
4674,2258,102364,202411,12,Profit Before Taxes ([100]) is negative.,2
4675,2693,102385,202410,12,Profit Before Taxes ([100]) is negative.,2
4676,2370,102455,202412,12,Profit Before Taxes ([100]) is negative.,2
4677,2665,102469,202412,12,Profit Before Taxes ([100]) is negative.,2
4678,2597,102521,202412,12,Profit Before Taxes ([100]) is negative.,2
4679,2572,102535,202412,12,Profit Before Taxes ([100]) is negative.,2
4680,2160,102586,202410,12,Profit Before Taxes ([100]) is negative.,2
4681,2617,102621,202411,12,Profit Before Taxes ([100]) is negative.,2
4682,2601,102600,202411,12,Profit Before Taxes ([100]) is negative.,2
4683,2500,102673,202411,12,Profit Before Taxes ([100]) is negative.,2
4684,2500,102709,202411,12,Profit Before Taxes ([100]) is negative.,2
4685,2260,102687,202410,12,Profit Before Taxes ([100]) is negative.,2
4686,2554,102759,202412,12,Profit Before Taxes ([100]) is negative.,2
4687,2040,102774,202410,12,Profit Before Taxes ([100]) is negative.,2
4688,2427,102808,202412,12,Profit Before Taxes ([100]) is negative.,2
4689,2395,102885,202410,12,Profit Before Taxes ([100]) is negative.,2
4690,2330,102919,202410,12,Profit Before Taxes ([100]) is negative.,2
4691,2395,102871,202412,12,Profit Before Taxes ([100]) is negative.,2
4692,2073,102905,202412,12,Profit Before Taxes ([100]) is negative.,2
4693,2454,102939,202412,12,Profit Before Taxes ([100]) is negative.,2
4694,2415,102973,202412,12,Profit Before Taxes ([100]) is negative.,2
4695,2638,103042,202411,12,Profit Before Taxes ([100]) is negative.,2
4696,2339,103089,202410,12,Profit Before Taxes ([100]) is negative.,2
4697,2204,103126,202412,12,Profit Before Taxes ([100]) is negative.,2
4698,2015,103109,202412,12,Profit Before Taxes ([100]) is negative.,2
4699,2649,103218,202411,12,Profit Before Taxes ([100]) is negative.,2
4700,2323,103232,202411,12,Profit Before Taxes ([100]) is negative.,2
4701,2540,103294,202412,12,Profit Before Taxes ([100]) is negative.,2
4702,2492,103280,202411,12,Profit Before Taxes ([100]) is negative.,2
4703,2286,103344,202411,12,Profit Before Taxes ([100]) is negative.,2
4704,2511,103359,202410,12,Profit Before Taxes ([100]) is negative.,2
4705,2684,103393,202410,12,Profit Before Taxes ([100]) is negative.,2
4706,2041,103413,202411,12,Profit Before Taxes ([100]) is negative.,2
4707,2170,103481,202410,12,Profit Before Taxes ([100]) is negative.,2
4708,2374,103527,202412,12,Profit Before Taxes ([100]) is negative.,2
4709,2487,103467,202410,12,Profit Before Taxes ([100]) is negative.,2
4710,2041,103541,202411,12,Profit Before Taxes ([100]) is negative.,2
4711,2111,103589,202411,12,Profit Before Taxes ([100]) is negative.,2
4712,2438,103602,202412,12,Profit Before Taxes ([100]) is negative.,2
4713,2539,103621,202411,12,Profit Before Taxes ([100]) is negative.,2
4714,2018,103711,202410,12,Profit Before Taxes ([100]) is negative.,2
4715,2334,103698,202411,12,Profit Before Taxes ([100]) is negative.,2
4716,2275,103738,202411,12,Profit Before Taxes ([100]) is negative.,2
4717,2540,103732,202410,12,Profit Before Taxes ([100]) is negative.,2
4718,2318,103797,202412,12,Profit Before Taxes ([100]) is negative.,2
4719,2318,103817,202412,12,Profit Before Taxes ([100]) is negative.,2
4720,2331,103851,202411,12,Profit Before Taxes ([100]) is negative.,2
4721,2613,103871,202412,12,Profit Before Taxes ([100]) is negative.,2
4722,2071,103831,202410,12,Profit Before Taxes ([100]) is negative.,2
4723,2613,103858,202411,12,Profit Before Taxes ([100]) is negative.,2
4724,2043,103956,202410,12,Profit Before Taxes ([100]) is negative.,2
4725,2309,103942,202411,12,Profit Before Taxes ([100]) is negative.,2
4726,2698,104037,202410,12,Profit Before Taxes ([100]) is negative.,2
4727,2621,104022,202410,12,Profit Before Taxes ([100]) is negative.,2
4728,2690,104084,202411,12,Profit Before Taxes ([100]) is negative.,2
4729,2233,104098,202411,12,Profit Before Taxes ([100]) is negative.,2
4730,2055,104148,202411,12,Profit Before Taxes ([100]) is negative.,2
4731,2079,104162,202411,12,Profit Before Taxes ([100]) is negative.,2
4732,2183,104220,202411,12,Profit Before Taxes ([100]) is negative.,2
4733,2367,104247,202410,12,Profit Before Taxes ([100]) is negative.,2
4734,2418,104208,202410,12,Profit Before Taxes ([100]) is negative.,2
4735,2373,104227,202411,12,Profit Before Taxes ([100]) is negative.,2
4736,2626,104313,202410,12,Profit Before Taxes ([100]) is negative.,2
4737,2476,104325,202411,12,Profit Before Taxes ([100]) is negative.,2
